ID,Price,Manufacturer,Model,Prod. year,Category,Interior Type,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Pakistan,India,USA,Canada,UK,Turkey,Dubai ,SaudiArabia,Russia,China,Japan,Germany,France,,,,,
45774419,"$8,467 ",HONDA,FIT,2006,Hatchback,Fabric,Petrol,1.3,200000 km,4,Variator,Front,4,Right-hand drive,Black,2,79,99,103,102,279,342,596,655,271,323,153,593,101,,,,,
45809263,"$11,726 ",HONDA,FIT,2014,Hatchback,Leather,Petrol,1.3,91901 km,4,Automatic,Front,4,Left-hand drive,Silver,4,37,147,151,335,324,282,224,26,348,48,37,231,49,,,,,Brands
45802912,"$39,493 ",HYUNDAI,Santa FE,2016,Jeep,Leather,Diesel,2,160931 km,4,Automatic,Front,4,Left-hand drive,White,4,131,86,104,362,194,13,77,515,353,373,224,313,204,,,,,HUMMER
45656768,"$1,803 ",TOYOTA,Prius,2010,Hatchback,Leather,Hybrid,1.8,258909 km,4,Automatic,Front,4,Left-hand drive,White,12,18,264,402,45,221,56,35,53,81,352,279,267,132,,,,,FERRARI
45816158,$549 ,HYUNDAI,Sonata,2013,Sedan,Leather,Petrol,2.4,216118 km,4,Automatic,Front,4,Left-hand drive,Grey,12,139,236,494,295,363,362,82,464,214,457,120,123,29,,,,,LAMBORGHINI
45641395,"$1,098 ",TOYOTA,Camry,2014,Sedan,Leather,Hybrid,2.5,398069 km,4,Automatic,Front,4,Left-hand drive,Black,12,42,273,35,189,228,24,625,681,458,222,61,223,6,,,,,ROLLS-ROYCE
45621750,$941 ,MERCEDES-BENZ,E 350,2014,Sedan,Leather,Diesel,3.5,184467 km,6,Automatic,Rear,4,Left-hand drive,White,12,64,148,596,191,352,284,431,245,299,196,204,566,188,,,,,HYUNDAI
45732604,"$59,464 ",HYUNDAI,Santa FE,2016,Jeep,Leather,Diesel,2,76000 km,4,Automatic,Front,4,Left-hand drive,White,4,121,250,327,134,223,280,370,60,118,23,205,112,315,,,,,TOYOTA
45465200,$549 ,TOYOTA,CHR,2018,Jeep,Leather,Petrol,2,74146 km,4,Automatic,Front,4,Left-hand drive,White,12,48,174,422,25,400,103,163,618,242,67,48,298,423,,,,,MERCEDES-BENZ
45772281,"$7,683 ",HYUNDAI,Elantra,2016,Sedan,Leather,Petrol,1.8,121840 km,4,Automatic,Front,4,Left-hand drive,Blue,12,137,251,190,71,200,203,221,333,132,350,283,55,64,,,,,GMC
45797221,"$28,382 ",HYUNDAI,Elantra,2016,Sedan,Leather,Petrol,1.8,54317 km,4,Automatic,Front,4,Left-hand drive,White,4,49,265,414,245,126,83,418,156,422,378,203,237,439,,,,,PORSCHE
45772104,$549 ,HYUNDAI,Sonata,2006,Sedan,Leather,Petrol,3.3,295059 km,6,Automatic,Rear,4,Left-hand drive,Blue,12,94,240,433,259,287,369,554,530,95,432,254,411,188,,,,,BMW
45801686,"$18,826 ",HYUNDAI,Elantra,2012,Sedan,Leather,Petrol,1.6,112645 km,4,Automatic,Front,4,Left-hand drive,Silver,4,57,196,254,35,11,41,226,787,414,446,211,494,118,,,,,NISSAN
45168471,"$20,698 ",TOYOTA,Prius,2012,Sedan,Leather,Plug-in Hybrid,1.8,187000 km,4,Automatic,Front,4,Left-hand drive,White,12,141,97,541,307,234,243,380,26,39,452,150,470,48,,,,,HONDA
45751951,"$17,562 ",TOYOTA,Camry,2017,Sedan,Leather,Petrol,2.5,39709 km,4,Automatic,Front,4,Left-hand drive,Black,12,24,265,365,243,119,188,656,308,82,111,83,165,261,,,,,AUDI
45782859,"$20,385 ",MERCEDES-BENZ,E 220,2006,Sedan,Leather,Diesel,2.2 Turbo,210000 km,4,Tiptronic,Rear,4,Left-hand drive,Black,8,46,138,24,221,288,142,431,636,141,112,209,300,227,,,,,LAND ROVER
45804684,$30 ,TOYOTA,Prius,2008,Sedan,Fabric,Hybrid,1.5,169000 km,4,Automatic,Front,4,Left-hand drive,White,8,58,50,372,210,212,45,193,517,462,195,106,48,135,,,,,TESLA
45801525,"$14,454 ",HYUNDAI,Elantra,2011,Sedan,Leather,Petrol,1.6,158787 km,4,Automatic,Front,4,Left-hand drive,Silver,4,13,236,299,148,168,183,252,482,124,52,38,575,354,,,,,BENTLEY
45768550,"$12,074 ",TOYOTA,Highlander,2009,Jeep,Leather,Hybrid,3.3,420550 km,6,Automatic,4x4,4,Left-hand drive,Blue,12,125,217,24,108,189,261,40,612,493,215,74,361,417,,,,,
44944581,"$15,681 ",MERCEDES-BENZ,Vito,2007,Goods wagon,Fabric,Diesel,2.0 Turbo,180000 km,6,Manual,Rear,4,Left-hand drive,White,4,26,215,565,19,138,56,331,104,33,285,164,479,418,,,,,
45760983,"$19,444 ",PORSCHE,Cayenne,2014,Jeep,Leather,Diesel,3,175056 km,6,Automatic,4x4,4,Left-hand drive,White,12,146,222,491,202,340,76,487,647,400,168,21,367,357,,,,,
45790136,"$6,899 ",BMW,X5,2000,Jeep,Leather,CNG,4.4,200000 km,8,Automatic,4x4,4,Left-hand drive,Silver,6,103,178,101,2,68,131,47,464,95,313,283,27,400,,,,,
45770026,$125 ,TOYOTA,Highlander,2008,Sedan,Leather,Hybrid,3.3,287274 km,6,Automatic,4x4,4,Left-hand drive,White,12,96,72,102,73,140,151,207,451,333,162,37,106,367,,,,,
45732374,"$23,235 ",HYUNDAI,Santa FE,2011,Jeep,Leather,Diesel,2,162000 km,4,Automatic,Front,4,Left-hand drive,Grey,4,139,268,466,229,64,290,301,335,207,119,89,464,347,,,,,
45369569,"$51,746 ",TOYOTA,CHR Limited,2019,Jeep,Fabric,Petrol,2,10200 km,4,Tiptronic,Front,4,Left-hand drive,Red,12,11,181,408,96,76,229,27,76,460,13,182,280,272,,,,,
45642526,"$7,527 ",HONDA,FIT,2010,Hatchback,Fabric,Hybrid,1.3,158000 km,4,Automatic,Front,4,Right-hand drive,Black,4,140,56,139,398,60,275,173,216,185,160,242,41,231,,,,,
45801668,"$19,121 ",HYUNDAI,Elantra,2012,Sedan,Leather,Petrol,1.6,103490 km,4,Automatic,Front,4,Left-hand drive,Silver,4,88,223,349,88,314,354,578,392,470,74,236,356,347,,,,,
45815051,"$24,462 ",TOYOTA,Camry,2013,Sedan,Leather,Petrol,2.4,203200 km,4,Automatic,Front,4,Left-hand drive,Blue,4,9,245,347,46,271,98,207,332,90,188,202,231,97,,,,,
45797488,"$45,734 ",HYUNDAI,H1,2016,Universal,Leather,Diesel,2.5,61057 km,4,Automatic,Front,4,Left-hand drive,Black,4,11,182,397,31,75,234,581,284,459,444,12,529,271,,,,,
45108412,"$21,326 ",HYUNDAI,Sonata,2014,Sedan,Leather,Hybrid,2.4,141000 km,4,Tiptronic,Front,4,Left-hand drive,White,12,118,21,538,269,97,174,521,648,127,318,115,569,29,,,,,
45810322,$549 ,PORSCHE,Cayenne,2010,Jeep,Leather,Petrol,3.6,160259 km,6,Automatic,4x4,4,Left-hand drive,Silver,12,57,17,515,147,384,331,299,78,235,278,85,492,146,,,,,
45769564,$220 ,TOYOTA,Tacoma,2013,Jeep,Leather,Petrol,4,239342 km,6,Automatic,4x4,4,Left-hand drive,Silver,12,132,248,126,17,249,70,204,163,97,500,32,223,86,,,,,
45726453,"$15,681 ",TOYOTA,Prius C,2012,Hatchback,Fabric,Hybrid,1.5,128000 km,4,Variator,Front,4,Left-hand drive,Sky blue,8,126,106,514,293,1,337,268,330,217,174,250,9,95,,,,,
45732544,"$55,390 ",HYUNDAI,Santa FE,2017,Jeep,Leather,Diesel,2,100734 km,4,Automatic,Front,4,Left-hand drive,Black,4,3,196,189,293,152,153,441,652,157,257,256,224,448,,,,,
45811563,"$12,544 ",TOYOTA,Aqua,2012,Hatchback,Fabric,Hybrid,1.5,141500 km,4,Automatic,Front,4,Right-hand drive,Black,8,29,83,139,116,46,322,413,709,240,159,278,25,50,,,,,
45809839,"$34,889 ",HONDA,Civic,2016,Sedan,Leather,Petrol,2,87768 km,4,Automatic,Front,4,Left-hand drive,Blue,4,108,115,453,338,104,88,350,265,383,129,270,352,181,,,,,
45767508,$862 ,AUDI,Q7,2015,Jeep,Leather,Petrol,3,264014 km,6,Automatic,4x4,4,Left-hand drive,Black,0,35,93,183,60,223,357,474,363,36,223,75,553,198,,,,,
45769316,$392 ,MERCEDES-BENZ,E 300,2017,Sedan,Leather,Petrol,2,1600 km,4,Automatic,Rear,4,Left-hand drive,Black,12,36,286,307,338,14,16,625,626,371,23,143,352,444,,,,,
44153312,"$38,500 ",AUDI,Q5,2014,Jeep,Leather,Petrol,2,87000 km,1,Tiptronic,4x4,4,Left-hand drive,White,12,109,262,511,315,307,374,134,281,356,413,204,127,257,,,,,
45782169,"$8,781 ",MERCEDES-BENZ,C 180,2001,Coupe,Fabric,Petrol,2,260000 km,4,Manual,Rear,2,Left-hand drive,Blue,0,47,10,451,147,396,259,417,659,457,262,14,326,248,,,,,
44316016,"$87,112 ",MERCEDES-BENZ,GLA 250,2019,Jeep,Leather,Petrol,2.0 Turbo,5323 km,4,Tiptronic,4x4,4,Left-hand drive,Grey,0,41,296,381,336,111,77,476,378,424,243,38,125,118,,,,,
45641216,"$1,411 ",NISSAN,Juke,2015,Jeep,Leather,Petrol,1.6,87112 km,4,Automatic,4x4,4,Left-hand drive,Black,0,22,63,593,205,381,61,95,653,336,323,181,592,149,,,,,
45813399,$392 ,BMW,535,2012,Sedan,Leather,Petrol,3,204318 km,6,Automatic,Rear,4,Left-hand drive,Black,12,95,26,26,88,286,201,124,487,23,374,222,533,423,,,,,
45323316,"$10,349 ",TOYOTA,VOXY,2007,Minivan,Leather,Petrol,2.4,170000 km,4,Automatic,Front,4,Right-hand drive,Black,6,44,222,132,219,202,122,188,492,10,426,47,298,313,,,,,
45638910,"$7,213 ",NISSAN,Juke,2013,Jeep,Leather,Petrol,1.6,312118 km,4,Automatic,Front,4,Left-hand drive,Black,0,50,44,292,253,174,101,492,666,432,467,66,133,57,,,,,
45778144,"$5,331 ",MERCEDES-BENZ,A 160,2004,Sedan,Fabric,Petrol,1.6,130000 km,4,Tiptronic,Front,4,Left-hand drive,Black,6,109,151,478,193,177,155,195,11,99,347,165,398,57,,,,,
